ENTREZID;ENSEMBL;SYMBOL;GENENAME
653635;ENSG00000227232;WASH7P;WASP family homolog 7, pseudogene
100422834;ENSG00000284557;MIR1302-10;microRNA 1302-10
100422834;ENSG00000288468;MIR1302-10;microRNA 1302-10
645520;ENSG00000237613;FAM138A;family with sequence similarity 138 member A
79501;ENSG00000186092;OR4F5;olfactory receptor family 4 subfamily F member 5
729737;NA;LOC729737;uncharacterized LOC729737
100507658;NA;NA;NA
100132287;NA;LOC100132287;uncharacterized LOC100132287
100288646;NA;NA;NA
729759;ENSG00000284733;OR4F29;olfactory receptor family 4 subfamily F member 29
100131754;NA;NA;NA
81399;ENSG00000284662;OR4F16;olfactory receptor family 4 subfamily F member 16
100287654;NA;NA;NA
100133331;NA;NA;NA
100288069;NA;LOC100288069;uncharacterized LOC100288069
100287934;NA;NA;NA
400728;ENSG00000177757;FAM87B;family with sequence similarity 87 member B
79854;ENSG00000225880;LINC00115;long intergenic non-protein coding RNA 115
643837;ENSG00000228794;LINC01128;long intergenic non-protein coding RNA 1128
100506327;NA;NA;NA
284593;ENSG00000230368;FAM41C;family with sequence similarity 41 member C
284600;NA;LOC284600;uncharacterized LOC284600
100130417;ENSG00000223764;LINC02593;long intergenic non-protein coding RNA 2593
148398;ENSG00000187634;SAMD11;sterile alpha motif domain containing 11
26155;ENSG00000188976;NOC2L;NOC2 like nucleolar associated transcriptional repressor
339451;ENSG00000187961;KLHL17;kelch like family member 17
84069;ENSG00000187583;PLEKHN1;pleckstrin homology domain containing N1
84808;ENSG00000187642;PERM1;PPARGC1 and ESRR induced regulator, muscle 1
57801;ENSG00000188290;HES4;hes family bHLH transcription factor 4
9636;ENSG00000187608;ISG15;ISG15 ubiquitin like modifier
375790;ENSG00000188157;AGRN;agrin
401934;ENSG00000237330;RNF223;ring finger protein 223
54991;ENSG00000131591;C1orf159;chromosome 1 open reading frame 159
406984;ENSG00000207730;MIR200B;microRNA 200b
406983;ENSG00000207607;MIR200A;microRNA 200a
554210;ENSG00000198976;MIR429;microRNA 429
100506376;ENSG00000205231;TTLL10-AS1;TTLL10 antisense RNA 1
254173;ENSG00000162571;TTLL10;tubulin tyrosine ligase like 10
8784;ENSG00000186891;TNFRSF18;TNF receptor superfamily member 18
7293;ENSG00000186827;TNFRSF4;TNF receptor superfamily member 4
51150;ENSG00000078808;SDF4;stromal cell derived factor 4
126792;ENSG00000176022;B3GALT6;beta-1,3-galactosyltransferase 6
388581;ENSG00000184163;C1QTNF12;C1q and TNF related 12
118424;ENSG00000160087;UBE2J2;ubiquitin conjugating enzyme E2 J2
6339;ENSG00000162572;SCNN1D;sodium channel epithelial 1 subunit delta
116983;ENSG00000131584;ACAP3;ArfGAP with coiled-coil, ankyrin repeat and PH domains 3
126789;ENSG00000169972;PUSL1;pseudouridine synthase like 1
54973;ENSG00000127054;INTS11;integrator complex subunit 11
80772;ENSG00000224051;CPTP;ceramide-1-phosphate transfer protein
83756;ENSG00000169962;TAS1R3;taste 1 receptor member 3
1855;ENSG00000107404;DVL1;dishevelled segment polarity protein 1
54587;ENSG00000162576;MXRA8;matrix remodeling associated 8
100506404;NA;NA;NA
54998;ENSG00000175756;AURKAIP1;aurora kinase A interacting protein 1
81669;ENSG00000221978;CCNL2;cyclin L2
148413;ENSG00000224870;MRPL20-AS1;MRPL20 antisense RNA 1
55052;ENSG00000242485;MRPL20;mitochondrial ribosomal protein L20
441869;ENSG00000235098;ANKRD65;ankyrin repeat domain 65
643965;ENSG00000205116;TMEM88B;transmembrane protein 88B
100288271;NA;NA;NA
64856;ENSG00000179403;VWA1;von Willebrand factor A domain containing 1
219293;ENSG00000215915;ATAD3C;ATPase family AAA domain containing 3C
83858;ENSG00000160072;ATAD3B;ATPase family AAA domain containing 3B
55210;ENSG00000197785;ATAD3A;ATPase family AAA domain containing 3A
339453;ENSG00000205090;TMEM240;transmembrane protein 240
29101;ENSG00000160075;SSU72;SSU72 homolog, RNA polymerase II CTD phosphatase
643988;ENSG00000228594;FNDC10;fibronectin type III domain containing 10
142678;ENSG00000197530;MIB2;mindbomb E3 ubiquitin protein ligase 2
8510;ENSG00000189409;MMP23B;matrix metallopeptidase 23B
984;ENSG00000248333;CDK11B;cyclin dependent kinase 11B
728661;ENSG00000189339;SLC35E2B;solute carrier family 35 member E2B
8511;ENSG00000215914;MMP23A;matrix metallopeptidase 23A (pseudogene)
728642;ENSG00000008128;CDK11A;cyclin dependent kinase 11A
100506482;NA;NA;NA
9906;ENSG00000215790;SLC35E2A;solute carrier family 35 member E2A
65220;ENSG00000008130;NADK;NAD kinase
2782;ENSG00000078369;GNB1;G protein subunit beta 1
163688;ENSG00000169885;CALML6;calmodulin like 6
339456;ENSG00000178821;TMEM52;transmembrane protein 52
85452;ENSG00000142609;CFAP74;cilia and flagella associated protein 74
2563;ENSG00000187730;GABRD;gamma-aminobutyric acid type A receptor subunit delta
5590;ENSG00000067606;PRKCZ;protein kinase C zeta
100506504;ENSG00000182873;PRKCZ-AS1;PRKCZ antisense RNA 1
199990;ENSG00000162585;FAAP20;FA core complex associated protein 20
100128003;NA;NA;NA
6497;ENSG00000157933;SKI;SKI proto-oncogene
79906;ENSG00000116151;MORN1;MORN repeat containing 1
100129534;ENSG00000269896;LOC100129534;small nuclear ribonucleoprotein polypeptide N pseudogene
11079;ENSG00000157916;RER1;retention in endoplasmic reticulum sorting receptor 1
5192;ENSG00000157911;PEX10;peroxisomal biogenesis factor 10
9651;ENSG00000149527;PLCH2;phospholipase C eta 2
9651;ENSG00000276429;PLCH2;phospholipase C eta 2
55229;ENSG00000157881;PANK4;pantothenate kinase 4 (inactive)
55229;ENSG00000273494;PANK4;pantothenate kinase 4 (inactive)
388585;ENSG00000197921;HES5;hes family bHLH transcription factor 5
